modern;traditional
пригожий;приго́жій, приго́жаго
пригореть;пригорѣ́ть, пригорѣ́лый
пригород;при́городъ, въ при́городѣ
пригородные;при́городные (м. р.), при́городныя (ж. р. и ср. р.)
пригородный;при́городный, при́городнаго
пригорок;приго́рокъ, на приго́ркѣ
приготовление;приготовле́ніе
пригребённый;пригребённый
пригревать;пригрѣва́ть
пригреть;пригрѣ́ть
придавать;придава́ть (сво́йства), но предава́ть (кого́-либо)
придаётся;придаётся
придание;прида́ніе (сво́йствъ)
приданое;"прида́ное (иму́щество, кото́рымъ снабжа́ется лицо́ же́нскаго по́ла при вы́ходѣ за́мужъ); но при́данное (отъ прида́ть)"
придать;прида́ть (приба́вить, увели́чить), но преда́ть (измѣ́ннически вы́дать), но пря́дать (уша́ми)
придвинет;придви́нетъ, придви́нете
придел;придѣ́лъ (боково́й алта́рь), въ придѣ́лѣ, придѣ́льный
придём;придёмъ
придерёмся;придерёмся
придержать;придержа́ть, но вла́сти предержа́щія
придерживать;приде́рживать
придёрнуть;придёрнуть
придёт;придётъ (не прійдётъ!)
придёте;придёте
придётся;придётся
придёшь;придёшь (не прійдёшь!)
придёшься;придёшься
придите;придите (не прійдите!)
придремнёт;придремнётъ
придрёмывал;придрёмывалъ
придуман;приду́манъ
придуманный;приду́манный
придут;придутъ (не прійдутъ!)
приедаться;пріѣда́ться
приедет;пріѣ́детъ, пріѣ́демъ, пріѣ́дешь, пріѣ́дутъ
приезд;пріѣ́здъ, о пріѣ́здѣ, по пріѣ́здѣ, къ пріѣ́зду
приезжавшего;пріѣзжа́вшаго
приезжавшие;пріѣзжа́вшіе (м. р.), пріѣзжа́вшія (ж. р. и ср. р.)
приезжавший;пріѣзжа́вшій, пріѣзжа́вшаго
приезжаем;пріѣзжа́емъ
приезжает;пріѣзжа́етъ, пріѣзжа́ете
приезжаешь;пріѣзжа́ешь
приезжай;пріѣзжа́й (не пріѣ́дь!)
приезжать;пріѣзжа́ть
приезжего;пріѣ́зжаго
приезжие;пріѣ́зжіе (м. р.), пріѣ́зжія (ж. р. и ср. р.)
приезжий;пріѣ́зжій, пріѣ́зжаго
приелось;пріѣ́лось
приём;пріёмъ, при пріёмѣ
приёмистый;пріёмистый
приёмка;пріёмка, на пріёмкѣ
приемлемая;пріе́млемая
приемлемо;пріе́млемо (не пріе́млимо!)
приемлемое;пріе́млемое (не пріе́млимое!)
приемлемые;пріе́млемые (м. р.), пріе́млемыя (ж. р. и ср. р.)
приемлемый;пріе́млемый, пріе́млемаго (не пріе́млимый! и не прее́млемый!)
приемлет;пріе́млетъ, пріе́млемъ, пріе́млешь, пріе́млютъ
приемлешь;пріе́млешь
приемли;пріе́мли
приемлю;пріе́млю
приёмная;пріёмная
приемник;пріе́мникъ уcтap. (принима́тель), пріёмникъ (прибо́ръ), но прее́мникъ (наслѣ́дникъ)
приёмник;пріёмникъ (прибо́ръ), пріе́мникъ уcтap. (принима́тель), но прее́мникъ (наслѣ́дникъ)
приёмный;пріёмный
приёмозаготовительный;пріёмозаготовительный
приёмопередатчик;пріёмопередатчикъ
приёмосдатчик;пріёмосдатчикъ
приёмочный;пріёмочный
приёмчик;пріёмчикъ
приёмщик;пріёмщикъ
приёмыш;пріёмышъ (пріёмный сынъ и́ли пріёмная дочь)
приехавшего;пріѣ́хавшаго
приехавшие;пріѣ́хавшіе (м. р.), пріѣ́хавшія (ж. р. и ср. р.)
приехавший;пріѣ́хавшій, пріѣ́хавшаго
приехать;пріѣ́хать, пріѣ́халъ, пріѣ́хала, пріѣ́хали
прижёгший;прижёгшій
прижечь;приже́чь, прижжёшь, прижжёте, прижжётъ (не прижгётъ!)
прижжённый;прижжённый, прижжёнъ
приживёшься;приживёшься
приживлённый;приживлённый
прижмёшься;прижмёшься
призвание;призва́ніе
приземистый;призе́мистый
приземлённый;приземлённый
призёр;призёръ, о призёрѣ
призматические;призмати́ческіе (м. р.), призмати́ческія (ж. р. и ср. р.)
призматический;призмати́ческій, призмати́ческаго
призматическое;призмати́ческое, призмати́ческаго
признаешь;призна́ешь
признаёшь;признаёшь
признание;призна́ніе
признателен;призна́теленъ
признательного;призна́тельнаго
признательное;призна́тельное
признательность;призна́тельность
признательные;призна́тельные (м. р.), призна́тельныя (ж. р. и ср. р.)
признательный;призна́тельный, призна́тельнаго
призовёт;призовётъ
Призрен;При́зренъ
призрение;призрѣ́ніе (забо́та, попече́ніе), но презрѣ́ніе (пренебреже́ніе)
призреть;"призрѣ́ть (забо́титься), призрю́, призри́тъ, при́зрѣнный, призрѣва́ть; но презрѣ́ть (пренебре́чь)"
призывает;призыва́етъ, призыва́ете
приидет;пріи́детъ (цeрк. придётъ)
приимец;пріи́мецъ (прія́ть)
прииск;прі́искъ, на прі́искѣ
приискание;пріиска́ніе
приискать;пріиска́ть (подыска́ть), пріи́щешь, пріи́щете
приискивает;пріи́скиваетъ, пріи́скиваете
прийти;прійти́, притти́, придти́, придётъ
прикажем;прика́жемъ
прикажет;прика́жетъ
прикажете;прика́жете но прикажи́те
прикажешь;прика́жешь
приказ;прика́зъ, въ прика́зѣ
приказчик;"прика́зчикъ (наёмный слу́жащій въ торго́вомъ заведе́ніи; управля́ющій имѣ́ніемъ помѣ́щика)"
прикасаться;прикаса́ться
Прикаспийский;Прикаспі́йскій (край)
прикладное;прикладно́е, прикладно́й, прикладно́го
прикладные;прикладны́е (м. р.), прикладны́я (ж. р. и ср. р.)
приклеенные;прикле́енные (м. р.), прикле́енныя (ж. р. и ср. р.)
приклеенный;прикле́енный, прикле́еннаго, прикле́енное
приклеить;прикле́ить, прикле́ите, прикле́йте
приклёпанный;приклёпанный
приклонённый;приклонённый
приклоняться;приклоня́ться (нагиба́ться), но преклоня́ться (обнару́живать уваже́ніе)
приключение;приключе́ніе
приключённый;приключённый
приключенческий;приключе́нческій
прикол;прико́лъ, стоя́ть на прико́лѣ — въ бездѣ́йствіи
прикорнёшь;прикорнёшь, прикорнёте
прикоснёшься;прикоснёшься, прикоснётесь
прикосновение;прикоснове́ніе
прикочёвывающий;прикочёвывающій
прикрепить;прикрѣпи́ть, прикрѣпи́те и прикрѣ́пите
прикреплён;прикрѣплёнъ
прикроет;прикро́етъ, прикро́ете, прикро́ешь, прикро́емъ
прикуёшь;прикуёшь
прилагается;прилага́ется
прилагательное;прилага́тельное
прилагать;прилага́ть (прибавля́ть), но прелага́ть (претворя́ть)
прилгнёт;прилгнётъ
прилёг;прилёгъ, прилегла́, прилегли́
прилегать;прилега́ть, прилега́етъ
прилегла;прилегла́, прилегли́
прилёгшие;прилёгшіе (м. р.), прилёгшія (ж. р. и ср. р.)
прилёгший;прилёгшій, прилёгшаго
прилежание;прилежа́ніе
прилежнее;приле́жнѣе
прилежно;приле́жно
прилежного;приле́жнаго
прилежное;приле́жное
прилежные;приле́жные (м. р.), приле́жныя (ж. р. и ср. р.)
прилежный;приле́жный, приле́жнаго
прилёт;прилётъ
прилететь;прилетѣ́ть, прилетѣ́лъ, прилетѣ́ла, прилетѣ́ли, прилетѣ́ло
прилечь;приле́чь, прилега́ть
прилепить;прилѣпи́ть
прилетевшее;прилетѣ́вшее
прилетевшие;прилетѣ́вшіе (м. р.), прилетѣ́вшія (ж. р. и ср. р.)
прилетевший;прилетѣ́вшій, прилетѣ́вшаго
прилететь;прилетѣ́ть
прилжёт;прилжётъ
приличествовать;прили́чествовать (соотвѣ́тствовать пра́виламъ прили́чія)
приличие;прили́чіе
приличнее;прили́чнѣе
приложение;приложе́ніе
приложенный;прило́женный
приложить;приложи́ть, приложи́те
прилунённый;прилунённый
прильёшь;прильёшь
прильнёшь;прильнёшь
приманённый;приманённый
примежёванный;примежёванный
примем;при́мемъ, при́мете но прими́те
применение;примѣне́ніе (не примине́ніе!)
применённый;примѣнённый
применить;примѣни́ть, но не премину́ть (слова премѣну́ть нѣтъ!)
применяет;примѣня́етъ
применять;примѣня́ть
пример;примѣ́ръ, въ примѣ́рѣ, къ примѣ́ру
примеренный;примѣ́ренный
примерзать;примерза́ть
примёрзнуть;примёрзнуть
примерить;примѣ́рить (не премѣ́рить!)
примерка;примѣ́рка, на примѣ́ркѣ
примерная;примѣ́рная
примерно;примѣ́рно
примерное;примѣ́рное
примерные;примѣ́рные (м. р.), примѣ́рныя (ж. р. и ср. р.)
примерный;примѣ́рный, примѣ́рнаго
примерных;примѣ́рныхъ, примѣ́рными
примерять;примѣря́ть, примѣря́ете
примесь;при́мѣсь
примет;при́метъ (отъ приня́ть, прими́те), при́мете но по примѣ́тѣ
примета;примѣ́та, по примѣ́тѣ но при́мете (приня́ть)
примётанный;примётанный
примете;на примѣ́тѣ, но при́мете (отъ приня́ть, прими́те)
приметен;примѣ́тенъ (но приметёнъ)
приметённый;приметённый
приметит;примѣ́титъ, примѣ́тимъ, примѣ́тишь, примѣ́тятъ
приметить;примѣ́тить
приметные;примѣ́тные (м. р.), примо́рскія (ж. р. и ср. р.)
приметный;примѣ́тный, примѣ́тное, примѣ́тнаго
примётывать;примётывать
примечает;примѣча́етъ, примѣча́емъ, примѣча́ешь, примѣча́ютъ
примечать;примѣча́ть
примечание;примѣча́ніе, примѣча́нія, примѣча́ніемъ, въ примѣча́ніи
примечательно;примѣча́тельно
примечательный;примѣча́тельный
примечать;примѣча́ть
примешанный;примѣ́шанный
примешенный;примѣ́шенный
примирение;примире́ніе
примирённый;примирённый
примиритель;примири́тель, примири́телемъ, о примири́телѣ
примирить;примири́ть
примите;прими́те (отъ приня́ть, при́мете, при́мемъ), не прійми́те!
примкнёшь;примкнёшь
примнёшь;примнёшь
приморские;примо́рскіе (м. р.), примо́рскія (ж. р. и ср. р.)
приморское;примо́рское, примо́рскаго
приморье;примо́рье
примощённый;примощённый
примрёт;примрётъ, примрёте
принадлежать;принадлежа́ть, принадлежи́тъ, принадлежи́те
принадлежащее;принадлежа́щее, принадлежа́щаго, принадлежа́щій
принадлежащие;принадлежа́щіе (м. р.), принадлежа́щія (ж. р. и ср. р.)
принадлежность;принадлежно́сть
принажмёт;принажмётъ
принаймёт;принаймётъ
приналёг;приналёгъ
приналечь;принале́чь
приневолить;принево́лить
приневский;прине́вскій
принёс;принёсъ, принесла́, принесли́, принесло́
принесение;принесе́ніе
принесённый;принесённый, принесённаго, принесёнъ
принесёт;принесётъ, принесёмъ, принесёшь, принесу́тъ
принесите;принеси́те
принести;принести́
принестись;принести́сь
принесть;прине́сть (прост., поэт. принести́)
принёсший;принёсшій, принёсшаго
принёсшийся;принёсшійся, принёсшагося
принеся;принеся́
принесясь;принеся́сь
приноровиться;принорови́ться
приношение;приноше́ніе
принудительное;принуди́тельное
принуждение;принужде́ніе
принуждённый;принуждённый
принц;принцъ, при́нцемъ, о при́нцѣ
принцип;при́нципъ, въ при́нципѣ
принципиальное;принципіа́льное, принципіа́льный, принципіа́льнаго
принципиальные;принципіа́льные (м. р.), принципіа́льныя (ж. р. и ср. р.)
принявшего;приня́вшаго
принявшей;приня́вшей
принявшие;приня́вшіе (м. р.), приня́вшія (ж. р. и ср. р.)
принявший;приня́вшій, приня́вшаго
принятие;приня́тіе, приня́тія
принцесса;принце́сса, о принце́ссѣ
приободрить;пріободри́ть
приободрённый;пріободрённый
приобрёл;пріобрѣ́лъ
приобрести;пріобрѣсти́
приобретать;пріобрѣта́ть, пріобрѣ́лъ (не преобрѣта́ть!)
приобретён;пріобрѣтёнъ
приобретение;пріобрѣте́ніе
приобретший;пріобрѣ́тшій и пріобрѣ́вшій
приобщение;пріобще́ніе
приобщённый;пріобщённый
приобщить;пріобщи́ть
приодеть;пріодѣ́ть
приодеться;пріодѣ́ться
приодетые;пріодѣ́тые (м. р.), пріодѣ́тыя (ж. р. и ср. р.)
приодетый;пріодѣ́тый
приозёрный;пріозёрный
прионежский;пріоне́жскій
Прионежье;Пріоне́жье
приор;пріо́ръ (настоя́тель второкла́сснаго католи́ческаго монастыря́, по ра́нгу слѣ́дующій за абба́томъ)
приорат;пріора́тъ
приоритет;пріорите́тъ (пе́рвенство въ откры́тіи и въ иде́ѣ)
приосаниться;пріоса́ниться
приостановка;пріостано́вка, при пріостано́вкѣ
приостановленного;пріостано́вленнаго
приостановленное;пріостано́вленное
приостановленные;пріостано́вленные (м. р.), пріостано́вленныя (ж. р. и ср. р.)
приостановленный;пріостано́вленный, пріостано́вленнаго
приотворённый;пріотворённый
приоткрыть;пріоткры́ть, пріоткро́ешь, пріоткро́емъ, пріоткро́етъ, пріоткро́ете
приохотить;пріохо́тить
припадёшь;припадёшь
припадок;припа́докъ, въ припа́дкѣ
припалённый;припалённый
припасённый;припасённый, припасённаго
припев;припѣ́въ, въ припѣ́вѣ
припеваючи;припѣва́ючи
припевая;припѣва́я, припѣва́ть, припѣва́ютъ, припѣва́емъ, припѣва́етъ, припѣва́ешь
припёк;припёкъ (при́быль въ вѣ́сѣ печёнаго хлѣ́ба сравни́тельно съ вѣ́сомъ употреблённой муки́)
припёр;припёръ, припёрся
припереть;припере́ть
припёртый;припёртый, припёртаго
приперчённый;приперчённый, приперчённаго
припёршийся;припёршійся, припёршагося
припечатать;припеча́тать
припечённый;припечённый
припечь;припе́чь
приписка;припи́ска, въ припи́скѣ
приплёлся;приплёлся
приплести;приплести́
приплетённый;приплетённый
приплывёшь;приплывёшь
приползёшь;приползёшь
припорхнёт;припорхнётъ
припрётесь;припрётесь
припрёшься;припрёшься
припрыгнет;припры́гнетъ, припры́гнете, припры́гнемъ
припрядённый;припрядённый
припряжённый;припряжённый
припугнёшь;припугнёшь
припушённый;припушённый
прирастёшь;прирастёшь
приращение;прираще́ніе
приращённый;приращённый
прирезка;прирѣ́зка
приречный;прирѣ́чный
природа;приро́да, въ приро́дѣ, по приро́дѣ свое́й
природное;приро́дное, приро́днаго
природные;приро́дные (м. р.), приро́дныя (ж. р. и ср. р.)
природоведение;природовѣ́дѣніе
прирождённый;прирождённый
приручённый;приручённый
присваивает;присво́иваетъ, присво́ивается
присваивать;присво́ивать, присво́иваться (но осва́ивать!)
присвоение;присвое́ніе, присво́енный
присед;присѣ́дъ, въ присѣ́дѣ, упо́ръ-присѣ́дъ
приседание;присѣда́ніе
приседать;присѣда́ть
присел;присѣ́лъ
приселённый;приселённый
присёлок;присёлокъ, присёлочекъ
присесть;присѣ́сть
присечь;присѣ́чь
прискорбие;приско́рбіе, съ глубо́кимъ приско́рбіемъ (не преско́рбіе!)
присловье;"присло́вье (коро́ткая рѣ́чь, вставля́емая въ разгово́ръ, имѣ́ющая отдѣ́льный смы́слъ; та́кже коро́ткія части́цы, прибавля́емыя къ концу́ сло́въ для усиле́нія ихъ, напримѣ́ръ: поди́-ка сюда́)"
прислонённый;прислонённый
присмирённый;присмирённый
присмиреть;присмирѣ́ть, присмирѣ́лъ, присмирѣ́ете
присмирить;присмири́ть
присмолённый;присмолённый
присмотреть;присмотрѣ́ть, присма́тривать, присмо́трѣнный
присно;при́сно (церк. вѣ́чно), ны́нѣ и при́сно и во вѣ́ки вѣко́въ
приснопамятный;приснопа́мятный (незабве́нный, незабыва́емый)
присоединить;присоедини́ть
присоберёт;присоберётъ
присовокуплённый;присовокуплённый
присоединение;присоедине́ніе
присоединённый;присоединённый, присоединённаго
присоединится;присоедини́тся
присоединиться;присоедини́ться
присоединяется;присоединя́ется
присосёшься;присосёшься, присосётесь
присочинённый;присочинённый
приспеть;приспѣ́ть (подоспѣ́ть, наста́ть, наступи́ть)
приспешник;приспѣ́шникъ (соо́бщникъ, сторо́нникъ каки́хъ-либо неблагови́дныхъ дѣ́йствій), не преспѣ́шникъ!
приспешница;приспѣ́шница
приспешнический;приспѣ́шническій
приспособить;приспосо́бить
приспособление;приспособле́ніе
приспособленные;приспосо́бленные (м. р.), приспосо́бленныя (ж. р. и ср. р.)
приспособленный;приспосо́бленный, приспосо́бленнаго
приставка;приста́вка, въ приста́вкѣ
приставленный;приста́вленный
пристаёшь;пристаёшь, пристаёте
пристально;при́стально, при́стальнѣе, при́стальное
пристальные;при́стальные (м. р.), при́стальныя (ж. р. и ср. р.)
пристанище;приста́нище, о приста́нищѣ (прію́тъ, убѣ́жище)
пристёганный;пристёганный
пристегнёт;пристегнётъ
пристёжка;пристёжка
пристенок;пристѣ́нокъ
пристрастен;пристра́стенъ
пристрастие;пристра́стіе
пристраститься;пристрасти́ться, пристрасти́тесь
пристращённый;пристращённый
пристрелка;пристрѣ́лка
пристреленный;пристрѣ́ленный
пристрелянный;пристрѣ́лянный
приструнённый;приструнённый
приступать;приступа́ть (къ кому́ или чему́-либо), но преступа́ть (наруша́ть)
пристыженный;присты́женный
пристыжённый;пристыжённый
присуждённый;присуждённый
присуженный;прису́женный
присутственное;прису́тственное (мѣ́сто)
присутственные;прису́тственные (м. р.), прису́тственныя (ж. р. и ср. р.)
присутствие;прису́тствіе, въ прису́тствіи, прису́тствіемъ, прису́тствуетъ, прису́тствуете
присутствующие;прису́тствующіе (м. р.), прису́тствующія (ж. р. и ср. р.)
присущие;прису́щіе (м. р.), прису́щія (ж. р. и ср. р.)
присущий;прису́щій, прису́щаго, прису́щее, прису́ще (сво́йственно)
присягнёшь;присягнёшь, присягнёте
присяжный;прися́жный (присягну́вшій, обя́занный прися́гой), прися́жный повѣ́ренный, прися́жные засѣда́тели, судъ прися́жныхъ
притаёжный;притаёжный
притворённый;притворённый
притворить;притвори́ть (прикры́ть), но претвори́ть — сдѣ́лать
притёкший;притёкшій
притемнённый;притемнённый (отъ притемни́ть)
притемнить;притемни́ть
притенённый;притѣнённый
притереть;притере́ть
притерпелость;притерпѣ́лость, притерпѣ́лый
притерпеться;притерпѣ́ться (къ бо́ли), но претерпѣ́ть (преобразова́ніе)
притёртый;притёртый
притёсанный;притёсанный
притеснённый;притѣснённый
притеснять;притѣсня́ть
притёсывал;притёсывалъ
притечёт;притечётъ
приткнёшься;приткнёшься
притолока;при́толока (боково́й и́ли ве́рхній бру́съ въ дверно́й ра́мѣ)
притом;прито́мъ (наpѣч.), но при томъ до́мѣ
притомлённый;притомлённый
притон;прито́нъ, въ прито́нѣ
приторможённый;приторможённый
притрёшься;притрёшься, притрёте, притрётесь, притрётся, притру́тся
притуплённый;притуплённый
притча;при́тча, въ при́тчѣ
притяжательное;притяжа́тельное
притяжательный;притяжа́тельный
приуберёт;пріуберётъ
приударить;пріуда́рить
приукрасить;пріукра́сить, не преукра́сить!
приукрашенный;пріукра́шенный, не преукра́шенный!
приукрашивать;пріукра́шивать, не преукра́шивать!
приулёгся;пріулёгся
приуменьшать;пріуменьша́ть
приуменьшить;пріуме́ньшить
приумножать;пріумножа́ть (увели́чивать во мно́го ра́зъ) и преумножа́ть (увели́чивать въ нѣ́сколько ра́зъ)
приумножить;пріумно́жить (увели́чить во мно́го ра́зъ), преумно́жить (увели́чить въ нѣ́сколько ра́зъ)
приумолкнуть;пріумо́лкнуть
приуныть;пріуны́ть
приурочить;пріуро́чить
приучать;пріуча́ть
приучен;пріу́ченъ
приучить;пріучи́ть
прихвастнёшь;прихвастнёшь
прихворнёшь;прихворнёшь
прихвостень;при́хвостень (подхали́мъ), при́хвостнемъ
прихлебатель;прихлеба́тель
прихлебнёт;прихлебнётъ
прихлёбывает;прихлёбываетъ
прихлестнёт;прихлестнётъ
приход;прихо́дъ, по прихо́дѣ
приходить;"приходи́ть (явля́ться куда́-нибу́дь), приходи́те и прихо́дите; но преходи́ть (проходи́ть)"
приходской;приходско́й и прихо́дскій
приходящий;приходя́щій (тотъ, кто прихо́дитъ), но преходя́щій (вре́менный)
прихоть;при́хоть, при́хоти, безъ при́хотей
прицел;прицѣ́лъ, на прицѣ́лѣ
прицеливание;прицѣ́ливаніе
прицелиться;прицѣли́ться
прицельное;прицѣ́льное
прицениться;прицѣни́ться
прицеп;прицѣ́пъ, въ прицѣ́пѣ
прицепить;прицѣпи́ть, прицѣпи́ться
прицепленный;прицѣ́пленный
причал;прича́лъ, на прича́лѣ, прича́ленный
причастен;прича́стенъ
причастие;прича́стіе (въ грамма́тикѣ отглаго́льное и́мя прилага́тельное, имѣ́ющее сво́йства какъ прилага́тельнаго, такъ и глаго́ла)
причащение;причаще́ніе (евхари́стія, по уче́нію правосла́вной це́ркви та́инство, по кото́рому вѣ́рующіе подъ ви́домь хлѣ́ба и вина́ причаща́ются са́маго тѣ́ла и кро́ви Христо́вой во оставле́ніе грѣхо́въ и жи́знь вѣ́чную)
причащённый;причащённый
причём;при чёмъ (всегда́ отдѣ́льно!), ни при чёмъ
причёсанный;причёсанный
причёска;причёска, о причёскѣ
причесть;приче́сть
причет;при́четъ, при́чтъ (причита́ніе)
причет;при́четъ, при́чтъ (кли́ръ — духове́нство христіа́нскаго хра́ма)
причетник;приче́тникъ (ни́зшій духо́вный чи́нъ, пре́жде называ́лся дьячко́мъ)
причешите;причеши́те (но приче́шете)
причешут;приче́шутъ, приче́шетъ, приче́шете (но причеши́те)
причина;причи́на, по причи́нѣ, причинённый
причинённый;причинённый, причинённаго
причислен;причи́сленъ
причт;при́чтъ, при́четъ (кли́ръ — духове́нство христіа́нскаго хра́ма)
причт;при́чтъ, при́четъ (причита́ніе)
причтённый;причтённый, причтёнъ, причтена́, причтено́, причтены́
пришедший;прише́дшій, прише́дшаго
пришей;прише́й, прише́йте
пришёл;пришёлъ и пришо́лъ
пришелец;прише́лецъ, пришле́цъ, о прише́льцѣ
пришёлся;пришёлся
пришёптывать;пришёптывать
пришествие;прише́ствіе
пришибёшь;пришибёшь
пришлём;пришлёмъ, пришлёте
пришлёпать;пришлёпать
пришлёпнуть;пришлёпнуть
пришлёшь;пришлёшь
пришлите;пришли́те
пришлые;при́шлые (м. р.), при́шлыя (ж. р. и ср. р.)
пришлый;при́шлый, при́шлаго, при́шлое
пришьёшь;пришьёшь, пришьёте
прищёлкивать;прищо́лкивать (па́льцами)
прищёлкнуть;прищелкну́ть (орѣ́ховъ)
прищемить;прищеми́ть, прищеми́те и прище́мите
прищемлённый;прищемлённый
прищепка;прище́пка, на прище́пкѣ
прищеплённый;прищеплённый
при этом;при э́томъ
приют;прію́тъ, въ прію́тѣ
приютить;пріюти́ть, пріюти́те
приязненное;прія́зненное, прія́зненнаго
приязненные;прія́зненные (м. р.), прія́зненныя (ж. р. и ср. р.)
приязненный;прія́зненный, прія́зненнаго
приязнь;прія́знь, прія́зненно
приятель;прія́тель, о прія́телѣ, прія́телемъ
приятельница;прія́тельница, о прія́тельницѣ, прія́тельницей
приятен;прія́тенъ
приятная;прія́тная
приятнее;прія́тнѣе
приятнейший;прія́тнѣйшій
приятненько;прія́тненько
приятно;прія́тно
приятного;прія́тнаго
приятное;прія́тное
приятность;прія́тность
приятные;прія́тные (м. р.), прія́тныя (ж. р. и ср. р.)
приятный;прія́тный, прія́тнаго
приять;прія́ть (приня́ть), пріима́ть, прія́тіе
пробег;пробѣ́гъ, при пробѣ́гѣ
пробежать;пробѣжа́ть
пробежка;пробѣ́жка, на пробѣ́жкѣ
пробел;пробѣ́лъ
пробелённый;пробѣлённый
пробельный;пробѣ́льный, пробѣ́льнаго
проберёшься;проберёшься
пробирает;пробира́етъ
пробирается;пробира́ется, пробира́етесь
пробирер;проби́реръ (чино́вникъ окружно́го проби́рнаго управле́нія, опредѣля́ющій про́бу благоро́дныхъ мета́лловъ)
проблема;пробле́ма (не пробле́мма!), о пробле́мѣ
проблеск;про́блескъ, въ про́блескѣ
проблёскивать;проблёскивать
прободённый;прободённый
проборождённый;проборождённый
проборонённый;проборонённый
пробубнённый;пробубнённый
пробуждается;пробужда́ется
пробуждение;пробужде́ніе
пробуждённый;пробуждённый
пробурённый;пробурённый
пробьёмся;пробьёмся
пробьёте;пробьёте
пробьёшься;пробьёшься
проведать;провѣ́дать
проведём;проведёмъ, проведёте
проведён;проведёнъ, проведена́, проведены́
проведена;проведена́
проведение;проведе́ніе (провести́), но Провидѣ́ніе (Про́мыслъ Бо́жій)
проведённые;проведённые (м. р.), проведённыя (ж. р. и ср. р.)
проведённый;проведённый
проведены;проведены́
проведёшь;проведёшь, проведётъ, проведёте
провезённый;провезённый
провёл;провёлъ, провести́, провели́
проверенный;провѣ́ренный
проверить;провѣ́рить, провѣ́римъ, провѣ́ришь, провѣ́рятъ
проверка;провѣ́рка, на провѣ́ркѣ, съ провѣ́ркой
провёрнутый;провёрнутый
провернуть;проверну́ть
проверочный;провѣ́рочный
проверь;провѣ́рь, провѣ́рьте
проверяет;провѣря́етъ, провѣря́емъ, провѣря́ешь, провѣря́ютъ
проверял;провѣря́лъ, провѣря́ла, провѣря́ли
проверять;провѣря́ть
провес;провѣ́съ (недоста́токъ въ вѣ́сѣ по́слѣ перевѣ́ски това́ра)
провесная;провѣсна́я (просу́шенная на во́здухѣ, провя́ленная по́слѣ засо́лки — обы́чно ры́ба)
провести;провести́, прове́сть, провёлъ
проветренный;провѣ́тренный
проветрить;провѣ́трить
провешенный;провѣ́шенный (отъ вѣ́шать)
провешённый;провѣшённый (отъ вѣ́шка)
провеять;провѣ́ять
провиант;провіа́нтъ (гла́вный предме́тъ продово́льствія во́йскъ, отпуска́ется опредѣлёнными да́чами)
провиантские;провіа́нтскіе (м. р.), провіа́нтскія (ж. р. и ср. р.)
провиантский;провіа́нтскій
провидение;прови́дѣніе (предви́дѣніе), Провидѣ́ніе и Провидѣ́нье (Про́мыслъ Бо́жій)
Провиденс;Провиде́нсъ
провиденциализм;провиденціали́змъ (уче́ніе, объясня́ющее истори́ческія собы́тія, какъ непосре́дственныя проявле́нія Провидѣ́нія)
провиденциальный;провиденціа́льный
Провиденье;Провидѣ́нье и Провидѣ́ніе (Про́мыслъ Бо́жій)
провидеть;прови́дѣть
провидец;прови́децъ, о прови́дцѣ
провидица;прови́дица, о прови́дицѣ
провидческий;прови́дческій, прови́дческаго
провизия;прови́зія (съѣстны́е припа́сы), прови́зіей
провизор;прови́зоръ (апте́чный рабо́тникъ, фармаце́втъ вы́сшей квалифика́ціи)
Провий;Про́вій
провинциализм;"провинціали́змъ (сло́во и́ли оборо́тъ рѣ́чи, употребля́емые въ разгово́рномъ языкѣ́ извѣ́стной мѣ́стности и́ли ча́сти страны́; мѣ́стная осо́бенность вы́говора)"
провинциальные;провинціа́льные (м. р.), провинціа́льныя (ж. р. и ср. р.)
провинциальный;провинціа́льный, провинціа́льнаго, провинціа́льное
провинция;прови́нція, въ прови́нціи, прови́нціей
провоёванный;провоёванный
провозвещённый;провозвѣщённый
провозглашённый;провозглашённый
провокационное;провокаціо́нное
провокационные;провокаціо́нные (м. р.), провокаціо́нныя (ж. р. и ср. р.)
провокационный;провокаціо́нный, провокаціо́ннаго
провокация;провока́ція, провока́ціей
проволока;про́волока, по про́волокѣ
проволочённый;проволочённый
провощённый;провощённый
проврёшься;проврёшься, проврётесь
прогадаешь;прогада́ешь, прогада́етъ, прогада́ете, прогада́емъ, прогада́ютъ
прогимназия;прогимна́зія (уче́бное заведе́ніе съ четырьмя́ ни́зшими кла́ссами гимна́зіи, а та́кже вообще́ непо́лная гимна́зія, въ кото́рой недостаётъ послѣ́дняго и́ли послѣ́днихъ дву́хъ кла́ссовъ)
проглядел;проглядѣ́лъ
проглядеть;проглядѣ́ть
прогневать;прогнѣ́вать
прогневлённый;прогнѣвлённый
прогнёмся;прогнёмся, прогнётесь, прогнётся, прогнёшься
прогниёт;прогніётъ
прогноённый;прогноённый
проговорённый;проговорённый
прогоняет;прогоня́етъ, прогоня́емъ, прогоня́ешь
прогореть;прогорѣ́ть
программа;програ́мма, въ програ́ммѣ
программного;програ́ммнаго
программное;програ́ммное
программные;програ́ммные (м. р.), програ́ммныя (ж. р. и ср. р.)
прографлённый;прографлённый
прогрёб;прогрёбъ
прогребённый;прогребённый
прогреметь;прогремѣ́ть
прогресс;прогре́ссъ, о прогре́ссѣ
прогрессия;прогре́ссія
